Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,PJOR/2,PIRATE - 5 X BLOW BUBBLE POTS,5012128348624.00,48,12,0.5,48,24,0.4,3.7,16.5,21,5024004557631.00,5024004557648.00
TO00041,LYNDA MILES T/AS MILES APART,PJOY/1,PIRATE - 1 X PLASTIC TABLE CLOTH,5012128348648.00,48,24,0.5,48,24,0.1,0.02,40.3,22,5024004557679.00,5024004557686.00
TO00041,LYNDA MILES T/AS MILES APART,PJPF/1,PIRATE - 14 X PRINTED BALLOONS,5012128353406.00,48,24,0.5,96,48,0.02,1,19,22,5024004568262.00,5024004568279.00
TO00041,LYNDA MILES T/AS MILES APART,PJPG/1,PIRATE - BANNER PACK,5012128353574.00,48,24,0.5,48,24,0.08,1,29.5,23.5,5024004568668.00,5024004568675.00
TO00041,LYNDA MILES T/AS MILES APART,PLRO,STAT-SOLIDS 10XMINI TAPES,5012128384424.00,24,12,0.48,24,11.52,0.14,12.5,5,5,5024004636961.00,5024004636978.00
TO00041,LYNDA MILES T/AS MILES APART,PLTA,STAT-SOLDS MINI TAPE DISPENSER,5012128384417.00,24,12,0.5,96,48,0.38,6.3,6,13.5,5024004636947.00,5024004636954.00
TO00041,LYNDA MILES T/AS MILES APART,PMBE,"PAINT-PYO MONEY BOX,BEAR,SNAIL,BEE",5012128390357.00,24,0,0.95,48,45.6,0.3,8.5,16,21,5024004649473.00,
TO00041,LYNDA MILES T/AS MILES APART,PMOL,PAINT-MAKE YOUR OWN FIGURINES(GIRLS),5012128343025.00,24,0,0.53,96,50.88,0.24,24,4,18.5,5024004545409.00,
TO00041,LYNDA MILES T/AS MILES APART,POMG,CRAFT - MIX PK GITTER POM POMS,5012128384035.00,36,18,0.5,180,91.08,0.04,3,30,12.7,5024004636084.00,5024004636091.00
TO00041,LYNDA MILES T/AS MILES APART,POMR,CRAFT - PK ASSORTED RAINBOW POM POMS,5012128384004.00,36,18,0.5,72,37.08,0.02,3,29,12.7,5024004636022.00,5024004636039.00
TO00041,LYNDA MILES T/AS MILES APART,PPSG,CARD HOLDER 24 PEG GLD/SILV,5012128406744.00,72,0,0.45,72,32.4,0.02,9.5,18.5,1,5024004679760.00,
TO00041,LYNDA MILES T/AS MILES APART,PPUE,CARD HOLDER 18 PEG NOVELTY,5012128406751.00,48,0,0.49,48,23.52,0.04,28.5,13.5,1,5024004679784.00,
TO00041,LYNDA MILES T/AS MILES APART,PRBN,CARDS 12 - PORTRAIT ROBINS,5012128397967.00,24,0,0.48,72,34.56,0.14,2,12,19,5024004665909.00,5024004665916.00
TO00041,LYNDA MILES T/AS MILES APART,PSPQ,GLITTER PRINCESS STAT SET,5012128415487.00,24,0,0.52,24,12.48,0.1,2,17.5,27,5024004692868.00,
TO00041,LYNDA MILES T/AS MILES APART,PVI/2,"ACT-COLOURED MIRROR CARD,A4,12 SHEET",5012128109386.00,36,12,0.5,108,54,0.24,0.5,36.5,24,5024004109380.00,5024004539750.00
